filename,search_name,size,runtime,num_explored,num_solution
04_009,Depth-First Search,4,0.0155,5,5
04_010,Depth-First Search,4,0.0153,5,5
04_011,Depth-First Search,4,0.0163,5,5
04_012,Depth-First Search,4,0.0169,5,5
04_013,Depth-First Search,4,0.0122,5,5
04_014,Depth-First Search,4,0.0116,5,5
04_015,Depth-First Search,4,0.0114,5,5
04_016,Depth-First Search,4,0.0113,5,5
04_017,Depth-First Search,4,0.0206,5,5
04_018,Depth-First Search,4,0.0117,5,5
04_019,Depth-First Search,4,0.0114,5,5
04_020,Depth-First Search,4,0.0114,5,5
04_021,Depth-First Search,4,0.0114,5,5
04_022,Depth-First Search,4,0.0126,5,5
04_023,Depth-First Search,4,0.0144,5,5
04_024,Depth-First Search,4,0.0145,5,5
04_025,Depth-First Search,4,0.0149,5,5
04_026,Depth-First Search,4,0.0185,5,5
04_027,Depth-First Search,4,0.0172,5,5
04_028,Depth-First Search,4,0.0235,5,5
04_029,Depth-First Search,4,0.0126,5,5
04_030,Depth-First Search,4,0.0122,5,5
04_031,Depth-First Search,4,0.0145,5,5
04_032,Depth-First Search,4,0.0146,5,5
04_033,Depth-First Search,4,0.0147,5,5
04_034,Depth-First Search,4,0.0146,5,5
04_035,Depth-First Search,4,0.0156,5,5
04_036,Depth-First Search,4,0.0179,5,5
04_037,Depth-First Search,4,0.0119,5,5
04_038,Depth-First Search,4,0.0117,5,5
04_039,Depth-First Search,4,0.0118,5,5
04_040,Depth-First Search,4,0.0115,5,5
04_041,Depth-First Search,4,0.0152,5,5
04_042,Depth-First Search,4,0.0152,5,5
04_043,Depth-First Search,4,0.0172,5,5
04_044,Depth-First Search,4,0.0154,5,5
04_045,Depth-First Search,4,0.0146,5,5
04_046,Depth-First Search,4,0.0438,5,5
04_047,Depth-First Search,4,0.0132,5,5
04_048,Depth-First Search,4,0.0119,5,5
04_049,Depth-First Search,4,0.0116,5,5
04_050,Depth-First Search,4,0.0116,5,5
04_051,Depth-First Search,4,0.0120,5,5
04_052,Depth-First Search,4,0.0234,5,5
04_053,Depth-First Search,4,0.0116,5,5
04_054,Depth-First Search,4,0.0115,5,5
04_055,Depth-First Search,4,0.0114,5,5
04_056,Depth-First Search,4,0.0127,5,5
04_057,Depth-First Search,4,0.0117,5,5
04_058,Depth-First Search,4,0.0115,5,5
04_059,Depth-First Search,4,0.0114,5,5
04_060,Depth-First Search,4,0.0113,5,5
04_061,Depth-First Search,4,0.0113,5,5
04_062,Depth-First Search,4,0.0113,5,5
04_063,Depth-First Search,4,0.0115,5,5
04_064,Depth-First Search,4,0.0112,5,5
04_065,Depth-First Search,4,0.0114,5,5
04_066,Depth-First Search,4,0.0113,5,5
04_067,Depth-First Search,4,0.0113,5,5
04_068,Depth-First Search,4,0.0114,5,5
04_069,Depth-First Search,4,0.0116,5,5
04_070,Depth-First Search,4,0.0116,5,5
04_071,Depth-First Search,4,0.0115,5,5
04_072,Depth-First Search,4,0.0113,5,5
04_073,Depth-First Search,4,0.0113,5,5
04_074,Depth-First Search,4,0.0115,5,5
04_075,Depth-First Search,4,0.0113,5,5
04_076,Depth-First Search,4,0.0113,5,5
04_077,Depth-First Search,4,0.0127,5,5
04_078,Depth-First Search,4,0.0113,5,5
04_079,Depth-First Search,4,0.0114,5,5
